Name,X1,X2,M,Lp,Formation(SCAN),Formation(PBE),Energy,above,hull,Elastic,constant,Band,gap,(PBE),Band,gap,(GW)
Te-OH-Bi,Te,OH,Bi,,,0.636405785,,,,,,,,,,,
Te-OH-Ce,Te,OH,Ce,,,1.879491613,,,,,,,,,,,
Te-OH-Co,Te,OH,Co,,,0.586208042,,,,,,,,,,,
Te-OH-Cr,Te,OH,Cr,,,0.952668002,,,,,,,,,,,
Te-OH-Fe,Te,OH,Fe,,,0.61595809,,,,,,,,,,,
Te-OH-Ga,Te,OH,Ga,,,0.500694987,,,,,,,,,,,
Te-OH-Gd,Te,OH,Gd,,,1.638348542,,,,,,,,,,,
Te-OH-In,Te,OH,In,,,0.645627105,,,,,,,,,,,
Te-OH-Ir,Te,OH,Ir,,,0.471249847,,,,,,,,,,,
Te-OH-La,Te,OH,La,,,1.702326192,,,,,,,,,,,
Te-OH-Lu,Te,OH,Lu,,,1.578919765,,,,,,,,,,,
Te-OH-Nd,Te,OH,Nd,,,1.629902097,,,,,,,,,,,
Te-OH-Rh,Te,OH,Rh,,,0.7008556,,,,,,,,,,,
Te-OH-Ru,Te,OH,Ru,,,0.399937032,,,,,,,,,,,
Te-OH-Sc,Te,OH,Sc,,,1.532773465,,,,,,,,,,,
Te-OH-Sm,Te,OH,Sm,,,1.613086722,,,,,,,,,,,
Te-OH-Y,Te,OH,Y,,,1.631081482,,,,,,,,,,,
NH-NH-Ce,NH,NH,Ce,,,0.872248674,,,,,,,,,,,
NH-NH-Ge,NH,NH,Ge,,,0.18917439,,,,,,,,,,,
NH-NH-Hf,NH,NH,Hf,,,1.033679376,,,,,,,,,,,
NH-NH-Ir,NH,NH,Ir,,0.173421056,,,,,,,,,,,,
NH-NH-Mo,NH,NH,Mo,,,0.277440336,,,,,,,,,,,
NH-NH-Os,NH,NH,Os,,0.23723256,,,,,,,,,,,,
NH-NH-Pd,NH,NH,Pd,,0.205951562,,,,,,,,,,,,
NH-NH-Pt,NH,NH,Pt,,0.007987332,,,,,,,,,,,,
NH-NH-Re,NH,NH,Re,,0.007383006,,,,,,,,,,,,
NH-NH-Ru,NH,NH,Ru,,0.04989361,,,,,,,,,,,,
NH-NH-Sn,NH,NH,Sn,,,0.16268836,,,,,,,,,,,
NH-NH-Tc,NH,NH,Tc,,,0.080653282,,,,,,,,,,,
NH-NH-Te,NH,NH,Te,,0.436821836,,,,,,,,,,,,
NH-NH-Ti,NH,NH,Ti,,,0.863959632,,,,,,,,,,,
NH-NH-W,NH,NH,W,,,0.272272426,,,,,,,,,,,
NH-NH-Zr,NH,NH,Zr,,,0.971547746,,,,,,,,,,,
PH-PH-Ce,PH,PH,Ce,,,0.37928788,,,,,,,,,,,
PH-PH-Ge,PH,PH,Ge,,0.280636896,,,,,,,,,,,,
PH-PH-Hf,PH,PH,Hf,,,0.336832664,,,,,,,,,,,
PH-PH-Ir,PH,PH,Ir,,,0.260864708,,,,,,,,,,,
PH-PH-Mo,PH,PH,Mo,,,0.09374398,,,,,,,,,,,
PH-PH-Os,PH,PH,Os,,0.024826144,,,,,,,,,,,,
PH-PH-Pd,PH,PH,Pd,,,0.056819918,,,,,,,,,,,
PH-PH-Pt,PH,PH,Pt,,,0.32666184,,,,,,,,,,,
PH-PH-Re,PH,PH,Re,,0.091966836,,,,,,,,,,,,
PH-PH-Ru,PH,PH,Ru,,,0.053367674,,,,,,,,,,,
PH-PH-Sn,PH,PH,Sn,,0.17911421,,,,,,,,,,,,
PH-PH-Tc,PH,PH,Tc,,,0.012201358,,,,,,,,,,,
PH-PH-Te,PH,PH,Te,,0.39302581,,,,,,,,,,,,
PH-PH-Ti,PH,PH,Ti,,,0.282801776,,,,,,,,,,,
PH-PH-W,PH,PH,W,,,0.01062999,,,,,,,,,,,
PH-PH-Zr,PH,PH,Zr,,,0.346264568,,,,,,,,,,,
S-S-Ce,S,S,Ce,,,1.892383631,,,,,,,,,,,
S-S-Ge,S,S,Ge,,,0.223975258,,,,,,,,,,,
S-S-Hf,S,S,Hf,,,1.760390918,,,,,,,,,,,
S-S-Ir,S,S,Ir,,,0.275214285,,,,,,,,,,,
S-S-Mo,S,S,Mo,,,0.620539875,,,,,,,,,,,
S-S-Os,S,S,Os,,0.025265535,,,,,,,,,,,,
S-S-Pd,S,S,Pd,,,0.251147065,,,,,,,,,,,
S-S-Pt,S,S,Pt,,,0.516308295,,,,,,,,,,,
S-S-Re,S,S,Re,,,0.153082155,,,,,,,,,,,
S-S-Ru,S,S,Ru,,,0.217519835,,,,,,,,,,,
S-S-Sn,S,S,Sn,,,0.446482275,,,,,,,,,,,
S-S-Tc,S,S,Tc,,,0.334471388,,,,,,,,,,,
S-S-Te,S,S,Te,,,1.66E,5,,,,,,,,,,
S-S-Ti,S,S,Ti,,,1.473824661,,,,,,,,,,,
S-S-W,S,S,W,,,0.536292305,,,,,,,,,,,
S-S-Zr,S,S,Zr,,,1.768988451,,,,,,,,,,,
Se-Se-Ce,Se,Se,Ce,,,1.703472163,,,,,,,,,,,
Se-Se-Ge,Se,Se,Ge,,,0.108824123,,,,,,,,,,,
Se-Se-Hf,Se,Se,Hf,,,1.474655347,,,,,,,,,,,
Se-Se-Ir,Se,Se,Ir,,,0.205324803,,,,,,,,,,,
Se-Se-Mo,Se,Se,Mo,,,0.41638306,,,,,,,,,,,
Se-Se-Os,Se,Se,Os,,0.164088553,,,,,,,,,,,,
Se-Se-Pd,Se,Se,Pd,,,0.289910283,,,,,,,,,,,
Se-Se-Pt,Se,Se,Pt,,,0.51375614,,,,,,,,,,,
Se-Se-Re,Se,Se,Re,,0.04660284,,,,,,,,,,,,
Se-Se-Ru,Se,Se,Ru,,,0.132557813,,,,,,,,,,,
Se-Se-Sn,Se,Se,Sn,,,0.358004003,,,,,,,,,,,
Se-Se-Tc,Se,Se,Tc,,,0.198515733,,,,,,,,,,,
Se-Se-Te,Se,Se,Te,,,0.072342503,,,,,,,,,,,
Se-Se-Ti,Se,Se,Ti,,,1.248322023,,,,,,,,,,,
Se-Se-W,Se,Se,W,,,0.254225073,,,,,,,,,,,
Se-Se-Zr,Se,Se,Zr,,,1.521382927,,,,,,,,,,,
Te-Te-Ce,Te,Te,Ce,,,1.29231081,,,,,,,,,,,
Te-Te-Ge,Te,Te,Ge,,0.017710863,,,,,,,,,,,,
Te-Te-Hf,Te,Te,Hf,,,0.97197191,,,,,,,,,,,
Te-Te-Ir,Te,Te,Ir,,,0.367648323,,,,,,,,,,,
Te-Te-Mo,Te,Te,Mo,,,0.193988167,,,,,,,,,,,
Te-Te-Os,Te,Te,Os,,0.10159672,,,,,,,,,,,,
Te-Te-Pd,Te,Te,Pd,,,0.400374123,,,,,,,,,,,
Te-Te-Pt,Te,Te,Pt,,,0.622001277,,,,,,,,,,,
Te-Te-Re,Te,Te,Re,,0.221331743,,,,,,,,,,,,
Te-Te-Ru,Te,Te,Ru,,,0.160199307,,,,,,,,,,,
Te-Te-Sn,Te,Te,Sn,,,0.162181343,,,,,,,,,,,
Te-Te-Tc,Te,Te,Tc,,,0.106472957,,,,,,,,,,,
Te-Te-Ti,Te,Te,Ti,,,0.856915463,,,,,,,,,,,
Te-Te-W,Te,Te,W,,0.06218692,,,,,,,,,,,,
Te-Te-Zr,Te,Te,Zr,,,1.07013484,,,,,,,,,,,
